start_time,src_ip,src_port,dest_ip,dest_port,size
0.3043769955870155,10.10.2.5,10041,10.10.1.2,11118,33561.124628764424
0.36321159001130515,10.10.2.5,10077,10.10.1.1,11190,7489.453152336129
0.46278711677625456,10.10.2.5,10172,10.10.1.14,11138,4596.24116695565
0.46848498271445876,10.10.2.5,10114,10.10.1.14,11107,16954.719916468952
0.5702656107808218,10.10.2.5,10183,10.10.1.6,11134,37583773.9872886
0.6438327419557771,10.10.2.5,10182,10.10.1.15,11174,67366.59072576786
0.695066016607843,10.10.2.5,10092,10.10.1.14,11193,36971.83421348256
0.6956857775562149,10.10.2.5,10080,10.10.1.7,11077,2279.7181817415594
0.7413388852778401,10.10.2.5,10057,10.10.1.8,11170,5886.427567581171
0.8025688111706131,10.10.2.5,10011,10.10.1.12,11043,21829.15103701289
0.8039828320773239,10.10.2.5,10198,10.10.1.16,11057,12102.013819650043
0.8551088757640327,10.10.2.5,10124,10.10.1.4,11101,33943037.538329735
0.8554483147075773,10.10.2.5,10000,10.10.1.5,11101,2999.684344357295
0.8743926323587057,10.10.2.5,10011,10.10.1.2,11022,9105.665986939917
0.9520154656960189,10.10.2.5,10041,10.10.1.5,11082,5938.2581562418045
1.0354005682368608,10.10.2.5,10132,10.10.1.11,11146,2960.376313710202
1.1866942682881416,10.10.2.5,10182,10.10.1.13,11137,3089.89039268312
1.2568741979834623,10.10.2.5,10164,10.10.1.14,11063,55083.72810169285
1.2894622441019576,10.10.2.5,10073,10.10.1.16,11168,2911.532340026232
1.2940767771598753,10.10.2.5,10050,10.10.1.15,11169,1550.5434634011365
1.297675014825205,10.10.2.5,10085,10.10.1.7,11162,22029.030507705906
1.359403755011425,10.10.2.5,10194,10.10.1.10,11122,4477.375146814304
1.4986150100110662,10.10.2.5,10184,10.10.1.5,11123,34186.32263242398
1.5221391454136146,10.10.2.5,10154,10.10.1.14,11117,22611.490953217886
1.5880443504328499,10.10.2.5,10075,10.10.1.1,11132,32249980.076191846
1.6603041502938463,10.10.2.5,10090,10.10.1.1,11055,100010.75205681982
1.6733411645748548,10.10.2.5,10198,10.10.1.15,11191,2710.818282000806
1.7500067599325184,10.10.2.5,10192,10.10.1.15,11153,117265.92612020201
1.77852949900786,10.10.2.5,10007,10.10.1.9,11003,66126.27479387337
1.8569921783964205,10.10.2.5,10177,10.10.1.7,11038,2452.7198795830345
1.9070019659217758,10.10.2.5,10129,10.10.1.12,11036,9875.225959470661
1.9745981230225125,10.10.2.5,10046,10.10.1.5,11167,2236.0862542783384
2.0849297923104015,10.10.2.5,10159,10.10.1.6,11157,5216.844483939066
2.3630074291134995,10.10.2.5,10009,10.10.1.10,11135,2341.462376403987
2.4476220628422025,10.10.2.5,10003,10.10.1.1,11052,1919.4679194754951
2.5511631806070425,10.10.2.5,10041,10.10.1.16,11095,20502.4918556933
2.9156102500727066,10.10.2.5,10172,10.10.1.9,11119,36096.885214745875
3.0023446321886476,10.10.2.5,10182,10.10.1.3,11037,1969.9049241400926
3.0755424525395223,10.10.2.5,10090,10.10.1.6,11109,6005.570438109686
3.1056115850917236,10.10.2.5,10187,10.10.1.13,11187,2475.8832860693146
3.1532708931001636,10.10.2.5,10027,10.10.1.14,11100,5927577.892191892
3.23176220081725,10.10.2.5,10179,10.10.1.4,11025,1801.8030575052937
3.2675533905502685,10.10.2.5,10163,10.10.1.6,11009,36598.452427294425
3.44140024332966,10.10.2.5,10024,10.10.1.6,11125,8211.359704675822
3.5042992203915553,10.10.2.5,10111,10.10.1.2,11107,5031306.992822302
3.531111973192423,10.10.2.5,10019,10.10.1.6,11103,8706.465675727808
3.5498069067819404,10.10.2.5,10022,10.10.1.11,11112,8831.869509883463
3.571787310916428,10.10.2.5,10033,10.10.1.8,11057,9446.45323638122
3.892035870919327,10.10.2.5,10019,10.10.1.7,11124,34917966.03953019
4.01674515689409,10.10.2.5,10133,10.10.1.5,11172,8101.53678072863
4.023484172848525,10.10.2.5,10185,10.10.1.10,11019,120142.57423015972
4.046554690312468,10.10.2.5,10124,10.10.1.9,11183,35260.93439503168
4.069239146882097,10.10.2.5,10154,10.10.1.15,11048,2346.7534303543835
4.111067151939477,10.10.2.5,10077,10.10.1.5,11081,25422.84887126226
4.1166864149045885,10.10.2.5,10107,10.10.1.8,11103,33417703.74629032
4.2009550178682495,10.10.2.5,10135,10.10.1.13,11017,30767531.58774908
4.249181262255004,10.10.2.5,10045,10.10.1.4,11149,6308.675027076066
4.297540967491762,10.10.2.5,10000,10.10.1.6,11135,3385.7333721929535
4.562691882235762,10.10.2.5,10081,10.10.1.3,11058,2351.153164385107
4.746496610349073,10.10.2.5,10045,10.10.1.13,11038,2397.981144302872
5.097546702476422,10.10.2.5,10146,10.10.1.7,11085,1700.3932603471867
5.1238680216122345,10.10.2.5,10067,10.10.1.10,11123,3433.8386033640886
5.1263070411018985,10.10.2.5,10145,10.10.1.14,11108,4520.487140535958
5.285262936578566,10.10.2.5,10119,10.10.1.11,11189,9436.49922464777
5.41782912237537,10.10.2.5,10000,10.10.1.10,11093,1186453878.5264058
5.433220381017227,10.10.2.5,10154,10.10.1.15,11118,16861.25181335696
5.609636758063824,10.10.2.5,10107,10.10.1.4,11085,9021.185645677986
